participant_id,group,per_group_id,handedness,block,trial,rewarded,chosen,correct,fb_given,contingent,rt,fb_type,stim_loc_blue,stim_loc_yellow,lc_trials,lc_correct,reversal,stim_to_fb,fb_to_newtrial
1,1,1,2,1,1,2,0,0,NaN,1,    NaN,1,4,3,7,0,0,1.49971,0.00000
1,1,1,2,1,2,2,1,0,0,1,0.63914,1,3,2,7,0,0,1.50006,1.99180
1,1,1,2,1,3,2,1,0,1,0,0.57003,1,4,1,7,0,0,1.50008,1.99179
1,1,1,2,1,4,2,1,0,0,1,0.56655,1,3,2,7,0,0,1.49987,1.99176
1,1,1,2,1,5,2,1,0,1,0,0.48596,1,2,4,7,0,0,1.50008,1.99176
1,1,1,2,1,6,2,1,0,0,1,0.52825,1,1,4,7,0,0,1.49997,1.99199
1,1,1,2,1,7,2,1,0,NaN,1,    NaN,1,3,4,7,0,0,1.49949,1.99173
1,1,1,2,1,8,2,2,1,0,0,1.15790,1,3,4,7,1,0,1.50024,1.99173
1,1,1,2,1,9,2,1,0,0,1,0.76163,1,4,1,7,0,0,1.50001,1.99173
1,1,1,2,1,10,2,2,1,1,1,1.06948,1,4,2,7,1,0,1.50010,1.99172
1,1,1,2,1,11,2,2,1,1,1,1.15604,1,2,1,7,2,0,1.50015,1.99173
1,1,1,2,1,12,2,2,1,1,1,1.11112,1,1,4,7,3,1,1.50011,1.99172
1,1,1,2,1,13,1,2,0,1,0,0.74865,1,4,1,6,0,0,1.49971,1.99180
1,1,1,2,1,14,1,2,0,0,1,0.98195,1,3,4,6,0,0,1.50010,1.99173
1,1,1,2,1,15,1,1,1,1,1,1.06419,1,1,4,6,1,0,1.49999,1.99173
1,1,1,2,1,16,1,1,1,1,1,1.26230,1,3,4,6,2,0,1.50019,1.99173
1,1,1,2,1,17,1,2,0,0,1,1.13170,1,3,4,6,0,0,1.50007,1.99173
1,1,1,2,1,18,1,1,1,1,1,1.16655,1,1,4,6,1,0,1.50019,1.99172
1,1,1,2,1,19,1,1,1,1,1,1.15900,1,2,3,6,2,0,1.50000,1.99173
1,1,1,2,1,20,1,2,0,1,0,0.88430,1,2,4,6,0,0,1.50005,1.99172
1,1,1,2,1,21,1,1,1,1,1,1.24273,1,2,4,6,1,0,1.50008,1.99173
1,1,1,2,1,22,1,2,0,1,0,1.13030,1,3,1,6,0,0,1.49979,1.99172
1,1,1,2,1,23,1,2,0,1,0,1.02182,1,4,3,6,0,0,1.49996,1.99172
1,1,1,2,1,24,1,2,0,NaN,1,    NaN,1,3,1,6,0,0,1.50000,1.99172
1,1,1,2,1,25,1,1,1,1,1,0.23971,1,4,1,6,1,0,1.49997,1.99172
1,1,1,2,1,26,1,2,0,0,1,0.80023,1,4,2,6,0,0,1.49985,1.99173
1,1,1,2,1,27,1,2,0,0,1,0.87287,1,4,3,6,0,0,1.50014,1.99173
1,1,1,2,1,28,1,1,1,1,1,0.85946,1,1,2,6,1,0,1.50032,1.99172
1,1,1,2,1,29,1,2,0,0,1,0.98086,1,3,2,6,0,0,1.49985,1.99173
1,1,1,2,1,30,1,2,0,NaN,0,    NaN,1,3,2,6,0,0,1.49988,1.99173
1,1,1,2,1,31,1,1,1,0,0,0.98065,1,1,4,6,1,0,1.50003,1.99172
1,1,1,2,1,32,1,2,0,0,1,0.83150,1,4,3,6,0,0,1.50005,1.99172
1,1,1,2,1,33,1,2,0,0,1,0.51812,1,4,3,6,0,0,1.49999,1.99172
1,1,1,2,1,34,1,2,0,0,1,1.26317,1,3,1,6,0,0,1.49990,1.99173
1,1,1,2,1,35,1,1,1,1,1,0.97119,1,4,1,6,1,0,1.50006,1.99172
1,1,1,2,1,36,1,1,1,NaN,1,    NaN,1,3,4,6,0,0,1.49989,1.99173
1,1,1,2,1,37,1,1,1,1,1,0.99688,1,4,2,6,1,0,1.50007,1.99173
1,1,1,2,1,38,1,1,1,1,1,0.98457,1,4,3,6,2,0,1.49998,1.99173
1,1,1,2,1,39,1,1,1,0,0,1.24351,1,3,4,6,3,1,1.50011,1.99174
1,1,1,2,1,40,2,1,0,NaN,1,    NaN,1,2,3,7,0,0,1.49985,1.99172
1,1,1,2,1,41,2,1,0,1,0,1.30349,1,2,3,7,0,0,1.50000,1.99172
1,1,1,2,1,42,2,2,1,1,1,0.81122,1,3,2,7,1,0,1.50004,1.99172
1,1,1,2,1,43,2,2,1,1,1,1.00263,1,1,4,7,2,0,1.49991,1.99173
1,1,1,2,1,44,2,1,0,0,1,0.87625,1,1,3,7,0,0,1.50004,1.99172
1,1,1,2,1,45,2,2,1,1,1,0.89147,1,1,4,7,1,0,1.49990,1.99171
1,1,1,2,1,46,2,2,1,1,1,0.81081,1,2,3,7,2,0,1.49998,1.99172
